0,1
Field capacity (Field water capacity),"The content of water, on a mass or volume basis, remaining in a soil two to three days after being saturated with water, and from which free drain- age is negligible."
Friable,A term describing soils that when either wet or dry can be easily crumbled between the fingers.
Geologic erosion,"The wearing away of the Earth's surface by the forces of water and wind. Sometimes referred to as natural erosion, it is responsible for the natural topographic cycles, as it wears away higher points of elevation and con- structs valleys and alluvial plains."
Green manure crop,Any crop grown for soil improvement by being incorporated into the soil while green or soon after maturity.
Greenhouse effect,"The absorption of solar radiant energy by the Earth's surface and its release as heat into the atmosphere; longer infrared heat waves are ab- sorbed by the air, principally by carbon dioxide and water vapor, thus, the atmosphere traps heat much as does the glass in a greenhouse."
Groundwater,That portion of the water below the surface of the ground at a pressure equal to or greater than atmospheric. See also water table.
Hard seed,Seed that is dormant due to a seed coat impervious to either water or oxygen.
Hemic organic soil materials,Intermediate in degree of decomposition between the less decomposed fibric and the more decomposed sapric materials.
Hydrologic cycle,The fate of water from the time of precipitation until the water has been returned to the atmosphere by evaporation and is again ready to be pre- cipitated.
Hydroseeding,Planting seed in a water mixture by pumping through a nozzle that sprays the mixture onto a seedbed. The water mixture may also contain addends such as fertilizer and mulches.
Inoculate,"To treat, usually seeds, with microorganisms to create a favorable re- sponse. Most often refers to the treatment of legume seeds with Rhizo- bium or Bradyrhizobium to stimulate dinitrogen fixation."
Isolated field,A field where the rate of soil flow is zero at the windward edge of the field due to the presence of a stable border. An isolated field is not protected by barriers and is exposed to open wind velocities. The Wind Erosion Equa- tion applies to conditions on an isolated field.
Isoline,A line on a map or chart along which there is a constant value of a variable such as wind velocity or climatic erosivity.
K factor-Water Erosion,"Soil erodibility factor in RUSLE that quantifies the susceptibility of soil particles to detachment and movement by water. The K value is the soil- loss rate per erosion index unit for a specified soil as measured on a stan- dard plot, which is defined as a 72.6-foot length of uniform 9 percent slope in continuous clean-tilled fallow."
K factor-Wind Erosion,"The soil roughness factor K, for WEQ. It is a measure of the effect of ori- ented roughness (ridges) and random roughness (cloddiness) on erosion. See Random Roughness and Ridge Roughness"
Knoll,An abrupt change in topography characterized by windward slope change greater than 3 percent and windward slope less than 500 feet long.
