,Converting elemental to oxide form,Converting oxide to elemental form
0,Pounds P ×2.2915 = Pounds P2O5,Pounds P2O5 ×0.4364 = Pounds P
1,Pounds K ×1.2045 = Pounds K2O,Pounds K2O ×0.8302 = Pounds K
