,0,1,2
0,Table 504-1,Available water capacity (AWC) by soil texture,504-3
1,Table 504-2,Critical periods for plant moisture stress,504-10
2,Table 504-3,"Depth to which roots of mature crops will extract available water from a deep, uniform, well drained soil under average unrestricted conditions (depths shown are for 80% of the roots",504-12
3,Table 504-4,Effect of tillage and corn residue on infiltration using simulated rainfall,504-14
4,Table 504-5,Net soil-water gain at the end of fallow as influenced by straw mulch rates at four Great Plains locations,504-15
5,Table 504-6,Salt tolerance of selected crops,504-21
